,Open,High,Low,Close,Volume
2023-01-01 00:00:00,45069.30641065652,45146.26778838303,45031.67128031036,45142.65876446085,1037.8146211317396
2023-01-01 00:15:00,45351.176748686805,45408.73715733028,45274.31454619624,45292.01861828717,1044.0632547453065
2023-01-01 00:30:00,45508.86042794467,45686.48731774992,45386.77240606978,45553.94540087839,422.23131889099466
2023-01-01 00:45:00,45630.370349955076,45650.4479586768,45469.36223204607,45507.82374976118,688.0514329020976
2023-01-01 01:00:00,45543.132670174215,45544.82847401015,45051.57353029956,45051.9301639409,922.1637749790805
2023-01-01 01:15:00,44978.186344950846,45020.440028323974,44743.51727062532,44888.28762682554,554.5469905616335
2023-01-01 01:30:00,44768.25310358465,44843.0602079562,44482.890940092744,44779.06088664666,864.6355848391995
2023-01-01 01:45:00,44750.96968757225,44794.771491100204,44556.71334296426,44573.18630543015,1029.1332912303928
2023-01-01 02:00:00,44502.62034694027,44546.477229363445,44341.21419050417,44368.154989126946,731.7497709403688
2023-01-01 02:15:00,44420.38048059762,44441.165551098566,44263.40640008397,44305.97348764916,753.9754734763852
2023-01-01 02:30:00,44228.21119469721,44491.376982512025,44206.60305495182,44476.61435158242,435.9251964863248
2023-01-01 02:45:00,44337.707979052124,44503.13044432369,44237.681147141804,44288.75953753081,1099.5010867557419
2023-01-01 03:00:00,44318.72490411362,44360.58190367298,43851.76363075181,43887.032428219754,615.5088936272732
2023-01-01 03:15:00,43915.145746168506,44062.72101703335,43840.24559594661,44039.459972518125,949.5181669059979
2023-01-01 03:30:00,44026.382681807365,44099.84746454525,43739.72087100166,43795.898633456134,1137.0689331461758
2023-01-01 03:45:00,43703.5097564396,43798.282880597086,43565.90152987378,43785.8978550565,918.5872945589085
2023-01-01 04:00:00,43833.22405593377,43899.44924632665,43581.44708529867,43648.15035398351,946.9939801301504
2023-01-01 04:15:00,43599.90837367841,43612.4485992269,43495.02657935239,43595.57145000543,984.5881679198691
2023-01-01 04:30:00,43732.59226862161,43920.23547650383,43667.22937409774,43748.737037481354,1132.7990049724826
2023-01-01 04:45:00,43710.341521573675,43896.19803945563,43677.85030282182,43886.21150820859,921.791647811709
2023-01-01 05:00:00,43825.31839292991,43859.0997482825,43618.77339572077,43659.90741816158,574.2473157945482
2023-01-01 05:15:00,43505.41160215143,43828.35269545143,43473.29733387982,43793.26703693635,805.3955027446316
2023-01-01 05:30:00,43785.996024837004,43987.465284871374,43771.74725214062,43969.85255811585,1078.8186960603018
2023-01-01 05:45:00,43886.95358926681,44158.6478668788,43824.22316756038,44141.655320101825,1207.7776520416487
2023-01-01 06:00:00,44139.118140858205,44481.57791239444,43984.558937759924,44002.1831115856,884.0558465803316
2023-01-01 06:15:00,44112.87973423334,44199.67248776718,44044.10542879661,44089.22886123072,1145.2425024424315
2023-01-01 06:30:00,44103.57030830525,44194.730063996976,43784.627104232764,43816.09787949742,959.1484946461113
2023-01-01 06:45:00,43865.230522553466,44079.150304885385,43813.5814747389,43995.60344392018,499.23885315312356
2023-01-01 07:00:00,43891.092732272875,44024.24476749971,43791.51494911213,43949.76924114598,956.6768346997942
2023-01-01 07:15:00,43995.312335829985,44008.217855665025,43900.453444302155,43997.42739006479,614.2878713516709
2023-01-01 07:30:00,44012.44074872023,44170.120536835726,43924.36421277842,44051.77457093111,1063.163017429463
2023-01-01 07:45:00,44010.6748626076,44026.48695871511,43741.71185619352,43770.28941727025,1119.0614774886742
2023-01-01 08:00:00,43811.36174242943,43878.935092545085,43742.6217130688,43850.728907055156,610.9051418139975
2023-01-01 08:15:00,43822.06099312836,43830.55628327494,43528.67708269439,43585.29202885374,591.077919054015
2023-01-01 08:30:00,43542.65935659914,43627.43606136757,43416.44011617857,43421.18986219981,314.49616624601657
2023-01-01 08:45:00,43475.99402859612,43775.47548158609,43424.5543080246,43749.26527293715,956.9887501274084
2023-01-01 09:00:00,43785.255657295435,43813.292645728754,43426.47264794169,43527.85692672108,1239.3924945230258
2023-01-01 09:15:00,43526.57104303604,43882.532788326214,43487.48190225772,43860.51269566446,746.5783140847059
2023-01-01 09:30:00,43837.39456968544,43946.82614256927,43746.57707915228,43876.868172480434,420.60638969278875
